<http://givingsense.eu/sembib/onto/persons/Danger_Jean-luc> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Danger_Jean-luc-author>
<http://givingsense.eu/sembib/onto/persons/Danger_Jean-luc> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Danger_Jean-luc-at-tpt>
<http://givingsense.eu/sembib/onto/persons/Danger_Jean-luc> <http://xmlns.com/foaf/0.1/name> "Jean-Luc Danger"
<http://givingsense.eu/sembib/onto/persons/Bevacqua_E_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Bevacqua_E_> <http://xmlns.com/foaf/0.1/name> "Elisabetta Bevacqua"
<http://givingsense.eu/sembib/onto/persons/McKeown_G_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/McKeown_G_> <http://xmlns.com/foaf/0.1/name> "G. McKeown"
<http://givingsense.eu/sembib/onto/persons/Pelachaud_Catherine> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Pelachaud_Catherine> <http://xmlns.com/foaf/0.1/name> "Catherine Pelachaud"
<http://givingsense.eu/sembib/onto/persons/de%20Sevin_E_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/de%20Sevin_E_> <http://xmlns.com/foaf/0.1/familyName> "de Sevin"
<http://givingsense.eu/sembib/onto/persons/de%20Sevin_E_> <http://xmlns.com/foaf/0.1/name> "E. de Sevin"
<http://givingsense.eu/sembib/onto/persons/McRorie_M_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/McRorie_M_> <http://xmlns.com/foaf/0.1/name> "M. McRorie"
<http://givingsense.eu/sembib/onto/persons/Sneddon_I_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Sneddon_I_> <http://xmlns.com/foaf/0.1/name> "Ian Sneddon"
<http://givingsense.eu/sembib/onto/persons/MOREL_Julien> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/MOREL_Julien> <http://xmlns.com/foaf/0.1/givenName> "Julien "
<http://givingsense.eu/sembib/onto/persons/MOREL_Julien> <http://xmlns.com/foaf/0.1/name> "Julien  MOREL"
<http://givingsense.eu/sembib/onto/persons/BELLOT_Patrick> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/BELLOT_Patrick> <http://xmlns.com/foaf/0.1/name> "Patrick BELLOT"
<http://givingsense.eu/sembib/onto/persons/Provost_J_-G_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Provost_J_-G_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Provost_J_-G_-author>
<http://givingsense.eu/sembib/onto/persons/Provost_J_-G_> <http://xmlns.com/foaf/0.1/name> "Jean-Guy Provost"
<http://givingsense.eu/sembib/onto/persons/Rougier_Jean-Louis> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Rougier_Jean-Louis> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Rougier_Jean-Louis-author>
<http://givingsense.eu/sembib/onto/persons/Rougier_Jean-Louis> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Rougier_Jean-Louis-at-tpt>
