24	7478	
12730	6752	
12731	6557	
12736	198	
12737	195	
3	19	
7	7	
27649	6	
14125	6	
14119	6	
14114	6	
14109	6	
14104	6	
14099	6	
14093	6	
14088	6	
14083	6	
14078	6	
14073	6	
14068	6	
14062	6	
14057	6	
14054	6	
14048	6	
14043	6	
14038	6	
14035	6	
14030	6	
14025	6	
14019	6	
14013	6	
14007	6	
14001	6	
13995	6	
13989	6	
13984	6	
13979	6	
12845	6	
12651	6	
11414	6	
10818	6	
10188	6	
9263	6	
9208	6	
8863	6	
8491	6	
8210	6	
8140	6	
8055	6	
7880	6	
7809	6	
7804	6	
7623	6	
7383	6	
6932	6	
6695	6	
6371	6	
6055	6	
5899	6	
5707	6	
5648	6	
5634	6	
5597	6	
5463	6	
5154	6	
4951	6	
4817	6	
4574	6	
4245	6	
4173	6	
4131	6	
4117	6	
4074	6	
3909	6	
3852	6	
3834	6	
3700	6	
3685	6	
3586	6	
3571	6	
3548	6	
3414	6	
3398	6	
3387	6	
3378	6	
3275	6	
3265	6	
3203	6	
3158	6	
3103	6	
3068	6	
3063	6	
3024	6	
2889	6	
2808	6	
2732	6	
2717	6	
2706	6	
2686	6	
2671	6	
